
# Starting new run with hyperparams:
{
  "learning_rate": 2e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.1
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy

# Starting new run with hyperparams:
{
  "learning_rate": 2e-05,
  "batch_size": 2,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.1
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy

# Starting new run with hyperparams:
{
  "learning_rate": 2e-05,
  "batch_size": 2,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.1
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.417, 10, 3.4690, None, None, None, None, None
0.833, 20, 1.0617, None, None, None, None, None
1.000, 24, None, 0.5843, 0.0000, 0.0000, 0.0000, 0.8680
1.250, 30, 0.5352, None, None, None, None, None
1.667, 40, 0.3309, None, None, None, None, None
2.000, 48, None, 0.3331, 0.4960, 0.5367, 0.5155, 0.9181
2.083, 50, 0.3830, None, None, None, None, None
2.500, 60, 0.2612, None, None, None, None, None
2.917, 70, 0.2313, None, None, None, None, None
3.000, 72, None, 0.2583, 0.6951, 0.6696, 0.6821, 0.9338
3.333, 80, 0.2370, None, None, None, None, None
3.750, 90, 0.1763, None, None, None, None, None
4.000, 96, None, 0.2370, 0.7040, 0.7360, 0.7197, 0.9404
4.167, 100, 0.1262, None, None, None, None, None
4.583, 110, 0.1257, None, None, None, None, None
5.000, 120, 0.1272, None, None, None, None, None
5.000, 120, None, 0.2706, 0.7460, 0.7290, 0.7374, 0.9410
5.417, 130, 0.1157, None, None, None, None, None
5.833, 140, 0.0990, None, None, None, None, None
6.000, 144, None, 0.2464, 0.7119, 0.7605, 0.7354, 0.9442
6.250, 150, 0.0867, None, None, None, None, None
6.667, 160, 0.0558, None, None, None, None, None
7.000, 168, None, 0.2847, 0.7623, 0.7570, 0.7596, 0.9440
7.083, 170, 0.0947, None, None, None, None, None
7.500, 180, 0.0583, None, None, None, None, None
7.917, 190, 0.0661, None, None, None, None, None
8.000, 192, None, 0.2901, 0.7358, 0.7692, 0.7521, 0.9451
8.333, 200, 0.0546, None, None, None, None, None
8.750, 210, 0.0571, None, None, None, None, None
9.000, 216, None, 0.2671, 0.7350, 0.7710, 0.7526, 0.9462
9.167, 220, 0.0561, None, None, None, None, None
9.583, 230, 0.0487, None, None, None, None, None
10.000, 240, 0.0473, None, None, None, None, None
10.000, 240, None, 0.2900, 0.7547, 0.7745, 0.7645, 0.9469
10.000, 240, None, None, None, None, None, None
10.000, 240, None, 0.2370, 0.7040, 0.7360, 0.7197, 0.9404

# Starting new run with hyperparams:
{
  "learning_rate": 2e-05,
  "batch_size": 2,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 2,
  "warmup_ratio": 0.1
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.833, 10, 3.5065, None, None, None, None, None
1.000, 12, None, 0.7846, 0.0000, 0.0000, 0.0000, 0.8680
1.667, 20, 0.6427, None, None, None, None, None
2.000, 24, None, 0.5284, 0.3452, 0.0507, 0.0884, 0.8724
2.500, 30, 0.5276, None, None, None, None, None
3.000, 36, None, 0.4276, 0.2482, 0.3094, 0.2755, 0.8937
3.333, 40, 0.4159, None, None, None, None, None
4.000, 48, None, 0.3627, 0.3850, 0.4301, 0.4063, 0.9094
4.167, 50, 0.3172, None, None, None, None, None
5.000, 60, 0.3023, None, None, None, None, None
5.000, 60, None, 0.3299, 0.5159, 0.5664, 0.5400, 0.9220
5.833, 70, 0.2423, None, None, None, None, None
6.000, 72, None, 0.2821, 0.5706, 0.6573, 0.6109, 0.9278
6.667, 80, 0.2111, None, None, None, None, None
7.000, 84, None, 0.2666, 0.6650, 0.7150, 0.6891, 0.9378
7.500, 90, 0.2110, None, None, None, None, None
8.000, 96, None, 0.2778, 0.7000, 0.7465, 0.7225, 0.9393
8.333, 100, 0.1696, None, None, None, None, None
9.000, 108, None, 0.2760, 0.7037, 0.7308, 0.7170, 0.9353
9.167, 110, 0.1602, None, None, None, None, None
10.000, 120, 0.1468, None, None, None, None, None
10.000, 120, None, 0.2767, 0.7145, 0.7395, 0.7268, 0.9379
10.000, 120, None, None, None, None, None, None
10.000, 120, None, 0.2666, 0.6650, 0.7150, 0.6891, 0.9378

# Starting new run with hyperparams:
{
  "learning_rate": 2e-05,
  "batch_size": 4,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.1
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.833, 10, 3.5052, None, None, None, None, None
