
# Starting new run with hyperparams:
{
  "learning_rate": 1e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.1,
  "lr_scheduler": "cosine",
  "fold": 1
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.208, 10, 3.2843, None, None, None, None, None
0.417, 20, 3.0462, None, None, None, None, None
0.625, 30, 2.6274, None, None, None, None, None
0.833, 40, 2.7529, None, None, None, None, None
1.000, 48, None, 2.2237, 0.0363, 0.3358, 0.0655, 0.1379
1.042, 50, 2.1762, None, None, None, None, None
1.250, 60, 1.6809, None, None, None, None, None
1.458, 70, 1.3975, None, None, None, None, None
1.667, 80, 1.2288, None, None, None, None, None
1.875, 90, 1.0655, None, None, None, None, None
2.000, 96, None, 1.1278, 0.1330, 0.6418, 0.2203, 0.5595
2.083, 100, 1.0587, None, None, None, None, None
2.292, 110, 0.6598, None, None, None, None, None
2.500, 120, 0.8392, None, None, None, None, None
2.708, 130, 0.4673, None, None, None, None, None
2.917, 140, 0.4250, None, None, None, None, None
3.000, 144, None, 0.8690, 0.2453, 0.6604, 0.3578, 0.7451
3.125, 150, 0.3670, None, None, None, None, None
3.333, 160, 0.4120, None, None, None, None, None
3.542, 170, 0.3319, None, None, None, None, None
3.750, 180, 0.3312, None, None, None, None, None
3.958, 190, 0.2376, None, None, None, None, None
4.000, 192, None, 0.7469, 0.3436, 0.6269, 0.4439, 0.8302
4.167, 200, 0.1755, None, None, None, None, None
4.375, 210, 0.2282, None, None, None, None, None
4.583, 220, 0.1448, None, None, None, None, None
4.792, 230, 0.2228, None, None, None, None, None
5.000, 240, 0.2115, None, None, None, None, None
5.000, 240, None, 1.0647, 0.4725, 0.6250, 0.5382, 0.9113
5.208, 250, 0.1251, None, None, None, None, None
5.417, 260, 0.1172, None, None, None, None, None
5.625, 270, 0.1371, None, None, None, None, None
5.833, 280, 0.0793, None, None, None, None, None
6.000, 288, None, 1.1234, 0.4433, 0.6343, 0.5219, 0.8896
6.042, 290, 0.0938, None, None, None, None, None
6.250, 300, 0.0493, None, None, None, None, None
6.458, 310, 0.1052, None, None, None, None, None
6.667, 320, 0.0710, None, None, None, None, None
6.875, 330, 0.0545, None, None, None, None, None
7.000, 336, None, 1.1336, 0.4886, 0.6399, 0.5541, 0.9011
7.083, 340, 0.0669, None, None, None, None, None
7.292, 350, 0.0448, None, None, None, None, None
7.500, 360, 0.0491, None, None, None, None, None
7.708, 370, 0.0412, None, None, None, None, None
7.917, 380, 0.0450, None, None, None, None, None
8.000, 384, None, 1.1825, 0.5142, 0.6418, 0.5710, 0.9133
8.125, 390, 0.0406, None, None, None, None, None
8.333, 400, 0.0457, None, None, None, None, None
8.542, 410, 0.0469, None, None, None, None, None
8.750, 420, 0.0494, None, None, None, None, None
8.958, 430, 0.0358, None, None, None, None, None
9.000, 432, None, 1.2304, 0.5251, 0.6437, 0.5784, 0.9164
9.167, 440, 0.0261, None, None, None, None, None
9.375, 450, 0.0283, None, None, None, None, None
9.583, 460, 0.0350, None, None, None, None, None
9.792, 470, 0.0372, None, None, None, None, None
10.000, 480, 0.0399, None, None, None, None, None
10.000, 480, None, 1.2654, 0.5361, 0.6511, 0.5880, 0.9180
10.000, 480, None, None, None, None, None, None
10.000, 480, None, 1.2654, 0.5361, 0.6511, 0.5880, 0.9180

# Starting new run with hyperparams:
{
  "learning_rate": 1e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.1,
  "lr_scheduler": "cosine",
  "fold": 2
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.204, 10, 3.2870, None, None, None, None, None
0.408, 20, 3.2307, None, None, None, None, None
0.612, 30, 2.7948, None, None, None, None, None
0.816, 40, 2.4717, None, None, None, None, None
1.000, 49, None, 2.1859, 0.0428, 0.4397, 0.0780, 0.1566
1.020, 50, 2.2007, None, None, None, None, None
1.224, 60, 1.7742, None, None, None, None, None
1.429, 70, 1.5439, None, None, None, None, None
1.633, 80, 1.4071, None, None, None, None, None
1.837, 90, 1.1306, None, None, None, None, None
2.000, 98, None, 1.1991, 0.1824, 0.6784, 0.2875, 0.7157
2.041, 100, 0.9900, None, None, None, None, None
2.245, 110, 0.6394, None, None, None, None, None
2.449, 120, 0.5686, None, None, None, None, None
2.653, 130, 0.6109, None, None, None, None, None
2.857, 140, 0.5794, None, None, None, None, None
3.000, 147, None, 1.1897, 0.1710, 0.6231, 0.2684, 0.5152
3.061, 150, 0.4392, None, None, None, None, None
3.265, 160, 0.3631, None, None, None, None, None
3.469, 170, 0.3769, None, None, None, None, None
3.673, 180, 0.3274, None, None, None, None, None
3.878, 190, 0.2623, None, None, None, None, None
4.000, 196, None, 1.0534, 0.2452, 0.6759, 0.3599, 0.6339
4.082, 200, 0.3262, None, None, None, None, None
4.286, 210, 0.1616, None, None, None, None, None
4.490, 220, 0.2066, None, None, None, None, None
4.694, 230, 0.1872, None, None, None, None, None
4.898, 240, 0.2617, None, None, None, None, None
5.000, 245, None, 1.0991, 0.2787, 0.5729, 0.3750, 0.7774
5.102, 250, 0.2038, None, None, None, None, None
5.306, 260, 0.2213, None, None, None, None, None
5.510, 270, 0.1186, None, None, None, None, None
5.714, 280, 0.1272, None, None, None, None, None
5.918, 290, 0.1623, None, None, None, None, None
6.000, 294, None, 1.1234, 0.3488, 0.6784, 0.4608, 0.7997
6.122, 300, 0.1645, None, None, None, None, None
6.327, 310, 0.0743, None, None, None, None, None
6.531, 320, 0.0865, None, None, None, None, None
6.735, 330, 0.0971, None, None, None, None, None
6.939, 340, 0.1507, None, None, None, None, None
7.000, 343, None, 1.3772, 0.4927, 0.6784, 0.5708, 0.9057
7.143, 350, 0.0749, None, None, None, None, None
7.347, 360, 0.0791, None, None, None, None, None
7.551, 370, 0.0747, None, None, None, None, None
7.755, 380, 0.1178, None, None, None, None, None
7.959, 390, 0.0190, None, None, None, None, None
8.000, 392, None, 1.4772, 0.5346, 0.6985, 0.6057, 0.9106
8.163, 400, 0.0405, None, None, None, None, None
8.367, 410, 0.0483, None, None, None, None, None
8.571, 420, 0.0661, None, None, None, None, None
8.776, 430, 0.0684, None, None, None, None, None
8.980, 440, 0.0546, None, None, None, None, None
9.000, 441, None, 1.4579, 0.5055, 0.6884, 0.5830, 0.9013
9.184, 450, 0.0929, None, None, None, None, None
9.388, 460, 0.0224, None, None, None, None, None
9.592, 470, 0.0208, None, None, None, None, None
9.796, 480, 0.0432, None, None, None, None, None
10.000, 490, 0.0670, None, None, None, None, None
10.000, 490, None, 1.4861, 0.5200, 0.6859, 0.5915, 0.9102
10.000, 490, None, None, None, None, None, None
10.000, 490, None, 1.4861, 0.5200, 0.6859, 0.5915, 0.9102

# Starting new run with hyperparams:
{
  "learning_rate": 1e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.1,
  "lr_scheduler": "cosine",
  "fold": 3
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.204, 10, 3.3242, None, None, None, None, None
0.408, 20, 3.1309, None, None, None, None, None
0.612, 30, 2.7689, None, None, None, None, None
0.816, 40, 2.7049, None, None, None, None, None
1.000, 49, None, 1.9305, 0.0705, 0.5234, 0.1243, 0.1479
1.020, 50, 2.3554, None, None, None, None, None
1.224, 60, 1.8392, None, None, None, None, None
1.429, 70, 1.5890, None, None, None, None, None
1.633, 80, 1.4383, None, None, None, None, None
1.837, 90, 1.0943, None, None, None, None, None
2.000, 98, None, 1.0056, 0.1354, 0.6393, 0.2235, 0.1431
2.041, 100, 1.3156, None, None, None, None, None
2.245, 110, 0.7814, None, None, None, None, None
