
# Starting new run with hyperparams:
{
  "learning_rate": 7e-05,
  "batch_size": 1,
  "epochs": 12,
  "weight_decay": 0.1,
  "dropout_rate": 0.1,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.2,
  "lr_scheduler": "linear"
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.208, 10, 3.0937, None, None, None, None, None
0.417, 20, 3.2676, None, None, None, None, None
0.625, 30, 2.9137, None, None, None, None, None
0.833, 40, 2.8089, None, None, None, None, None
1.000, 48, None, 2.4794, 0.0226, 0.1408, 0.0389, 0.4303
1.042, 50, 2.7515, None, None, None, None, None
1.250, 60, 2.0869, None, None, None, None, None
1.458, 70, 1.9740, None, None, None, None, None
1.667, 80, 1.8521, None, None, None, None, None
1.875, 90, 1.7645, None, None, None, None, None
2.000, 96, None, 1.5397, 0.0708, 0.3857, 0.1196, 0.4017
2.083, 100, 1.5224, None, None, None, None, None
2.292, 110, 0.8609, None, None, None, None, None
2.500, 120, 0.9304, None, None, None, None, None
2.708, 130, 0.8989, None, None, None, None, None
2.917, 140, 0.8360, None, None, None, None, None
3.000, 144, None, 1.0661, 0.1086, 0.4735, 0.1767, 0.5951
3.125, 150, 0.5928, None, None, None, None, None
3.333, 160, 0.3924, None, None, None, None, None
3.542, 170, 0.3905, None, None, None, None, None
3.750, 180, 0.5151, None, None, None, None, None
3.958, 190, 0.3335, None, None, None, None, None
4.000, 192, None, 1.2239, 0.1950, 0.5320, 0.2854, 0.6902
4.167, 200, 0.2073, None, None, None, None, None
4.375, 210, 0.2937, None, None, None, None, None
4.583, 220, 0.1282, None, None, None, None, None
4.792, 230, 0.2173, None, None, None, None, None
5.000, 240, 0.1859, None, None, None, None, None
5.000, 240, None, 0.9473, 0.2759, 0.5887, 0.3757, 0.8327
5.208, 250, 0.1967, None, None, None, None, None
5.417, 260, 0.0606, None, None, None, None, None
5.625, 270, 0.0970, None, None, None, None, None
5.833, 280, 0.1867, None, None, None, None, None
6.000, 288, None, 1.1364, 0.2427, 0.5338, 0.3337, 0.7924
6.042, 290, 0.1809, None, None, None, None, None
6.250, 300, 0.0667, None, None, None, None, None
6.458, 310, 0.1325, None, None, None, None, None
6.667, 320, 0.0621, None, None, None, None, None
6.875, 330, 0.1620, None, None, None, None, None
7.000, 336, None, 1.3937, 0.4874, 0.6362, 0.5519, 0.9121
7.083, 340, 0.0408, None, None, None, None, None
7.292, 350, 0.0247, None, None, None, None, None
7.500, 360, 0.0929, None, None, None, None, None
7.708, 370, 0.0587, None, None, None, None, None
7.917, 380, 0.0922, None, None, None, None, None
8.000, 384, None, 1.3336, 0.4514, 0.6197, 0.5223, 0.9053
8.125, 390, 0.0064, None, None, None, None, None
8.333, 400, 0.1048, None, None, None, None, None
8.542, 410, 0.0363, None, None, None, None, None
8.750, 420, 0.0367, None, None, None, None, None
8.958, 430, 0.0177, None, None, None, None, None
9.000, 432, None, 1.5026, 0.5289, 0.6691, 0.5908, 0.9186
9.167, 440, 0.0328, None, None, None, None, None
9.375, 450, 0.0042, None, None, None, None, None
9.583, 460, 0.0382, None, None, None, None, None
9.792, 470, 0.0294, None, None, None, None, None
10.000, 480, 0.0623, None, None, None, None, None
10.000, 480, None, 1.5993, 0.5603, 0.6709, 0.6106, 0.9212
10.208, 490, 0.0032, None, None, None, None, None
10.417, 500, 0.0163, None, None, None, None, None
10.625, 510, 0.0173, None, None, None, None, None
10.833, 520, 0.0777, None, None, None, None, None
11.000, 528, None, 1.6420, 0.5647, 0.6618, 0.6094, 0.9221
11.042, 530, 0.0262, None, None, None, None, None
11.250, 540, 0.0095, None, None, None, None, None
11.458, 550, 0.0222, None, None, None, None, None
11.667, 560, 0.0623, None, None, None, None, None
11.875, 570, 0.0190, None, None, None, None, None
12.000, 576, None, 1.6823, 0.5629, 0.6545, 0.6052, 0.9227
12.000, 576, None, None, None, None, None, None
12.000, 576, None, 1.5993, 0.5603, 0.6709, 0.6106, 0.9212
