
# Starting new run with hyperparams:
{
  "learning_rate": 1e-05,
  "batch_size": 1,
  "epochs": 12,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.05
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.208, 10, 2.0027, None, None, None, None, None
0.417, 20, 0.7250, None, None, None, None, None
0.625, 30, 0.3711, None, None, None, None, None
0.833, 40, 0.4104, None, None, None, None, None
1.000, 48, None, 0.4355, 0.2588, 0.2412, 0.2497, 0.8954
1.042, 50, 0.3241, None, None, None, None, None
1.250, 60, 0.2912, None, None, None, None, None
1.458, 70, 0.3068, None, None, None, None, None
1.667, 80, 0.3086, None, None, None, None, None
1.875, 90, 0.2366, None, None, None, None, None
2.000, 96, None, 0.3565, 0.4085, 0.4846, 0.4433, 0.8972
2.083, 100, 0.3325, None, None, None, None, None
2.292, 110, 0.1710, None, None, None, None, None
2.500, 120, 0.2286, None, None, None, None, None
2.708, 130, 0.1968, None, None, None, None, None
2.917, 140, 0.2568, None, None, None, None, None
3.000, 144, None, 0.3165, 0.5695, 0.5658, 0.5677, 0.9284
3.125, 150, 0.1293, None, None, None, None, None
3.333, 160, 0.1525, None, None, None, None, None
3.542, 170, 0.0904, None, None, None, None, None
3.750, 180, 0.1513, None, None, None, None, None
3.958, 190, 0.1078, None, None, None, None, None
4.000, 192, None, 0.2840, 0.5731, 0.6535, 0.6107, 0.9335
4.167, 200, 0.1635, None, None, None, None, None
4.375, 210, 0.0463, None, None, None, None, None
4.583, 220, 0.0794, None, None, None, None, None
4.792, 230, 0.1021, None, None, None, None, None
5.000, 240, 0.0959, None, None, None, None, None
5.000, 240, None, 0.3311, 0.5055, 0.6009, 0.5491, 0.9226
5.208, 250, 0.0429, None, None, None, None, None
5.417, 260, 0.0857, None, None, None, None, None
5.625, 270, 0.0602, None, None, None, None, None
5.833, 280, 0.0813, None, None, None, None, None
6.000, 288, None, 0.3522, 0.6085, 0.6886, 0.6461, 0.9332
6.042, 290, 0.0467, None, None, None, None, None
6.250, 300, 0.0523, None, None, None, None, None
6.458, 310, 0.0382, None, None, None, None, None
6.667, 320, 0.0426, None, None, None, None, None
6.875, 330, 0.0470, None, None, None, None, None
7.000, 336, None, 0.3639, 0.6117, 0.6425, 0.6267, 0.9309
7.083, 340, 0.0613, None, None, None, None, None
7.292, 350, 0.0492, None, None, None, None, None
7.500, 360, 0.0113, None, None, None, None, None
7.708, 370, 0.0337, None, None, None, None, None
7.917, 380, 0.0368, None, None, None, None, None
8.000, 384, None, 0.3808, 0.6011, 0.6908, 0.6429, 0.9303
8.125, 390, 0.0266, None, None, None, None, None
8.333, 400, 0.0128, None, None, None, None, None
8.542, 410, 0.0540, None, None, None, None, None
8.750, 420, 0.0271, None, None, None, None, None
8.958, 430, 0.0268, None, None, None, None, None
9.000, 432, None, 0.3958, 0.6322, 0.6711, 0.6511, 0.9337
9.167, 440, 0.0219, None, None, None, None, None
9.375, 450, 0.0371, None, None, None, None, None
9.583, 460, 0.0229, None, None, None, None, None
9.792, 470, 0.0163, None, None, None, None, None
10.000, 480, 0.0154, None, None, None, None, None
10.000, 480, None, 0.4337, 0.6194, 0.6316, 0.6254, 0.9319
10.208, 490, 0.0121, None, None, None, None, None
10.417, 500, 0.0203, None, None, None, None, None
10.625, 510, 0.0321, None, None, None, None, None
10.833, 520, 0.0041, None, None, None, None, None
11.000, 528, None, 0.3982, 0.6313, 0.6908, 0.6597, 0.9348
11.042, 530, 0.0244, None, None, None, None, None
11.250, 540, 0.0228, None, None, None, None, None
11.458, 550, 0.0095, None, None, None, None, None
11.667, 560, 0.0229, None, None, None, None, None
11.875, 570, 0.0207, None, None, None, None, None
12.000, 576, None, 0.4085, 0.6240, 0.6732, 0.6477, 0.9341
12.000, 576, None, None, None, None, None, None
12.000, 576, None, 0.2840, 0.5731, 0.6535, 0.6107, 0.9335

# Starting new run with hyperparams:
{
  "learning_rate": 1e-05,
  "batch_size": 1,
  "epochs": 12,
  "weight_decay": 0.05,
  "dropout_rate": 0.05,
  "gradient_accumulation_steps": 1,
