
# Starting new run with hyperparams:
{
  "learning_rate": 3e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.1,
  "dropout_rate": 0.1,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.2,
  "lr_scheduler": "cosine",
  "fold": 1
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.208, 10, 3.4240, None, None, None, None, None
0.417, 20, 3.0877, None, None, None, None, None
0.625, 30, 2.8363, None, None, None, None, None
0.833, 40, 2.7904, None, None, None, None, None
1.000, 48, None, 2.5305, 0.0277, 0.2383, 0.0496, 0.3571
1.042, 50, 2.3542, None, None, None, None, None
1.250, 60, 1.9307, None, None, None, None, None
1.458, 70, 1.7484, None, None, None, None, None
1.667, 80, 1.5704, None, None, None, None, None
1.875, 90, 1.3794, None, None, None, None, None
2.000, 96, None, 1.6279, 0.0573, 0.4362, 0.1012, 0.2622
2.083, 100, 1.3315, None, None, None, None, None
2.292, 110, 0.7894, None, None, None, None, None
2.500, 120, 0.7584, None, None, None, None, None
2.708, 130, 0.5943, None, None, None, None, None
2.917, 140, 0.6427, None, None, None, None, None
3.000, 144, None, 1.3761, 0.1499, 0.5128, 0.2320, 0.6952
3.125, 150, 0.4743, None, None, None, None, None
3.333, 160, 0.4075, None, None, None, None, None
3.542, 170, 0.4269, None, None, None, None, None
3.750, 180, 0.2856, None, None, None, None, None
3.958, 190, 0.2600, None, None, None, None, None
4.000, 192, None, 1.2115, 0.1599, 0.5106, 0.2435, 0.6991
4.167, 200, 0.2852, None, None, None, None, None
4.375, 210, 0.2729, None, None, None, None, None
4.583, 220, 0.1460, None, None, None, None, None
4.792, 230, 0.2043, None, None, None, None, None
5.000, 240, 0.2360, None, None, None, None, None
5.000, 240, None, 1.3478, 0.3078, 0.5809, 0.4024, 0.8669
5.208, 250, 0.1112, None, None, None, None, None
5.417, 260, 0.1254, None, None, None, None, None
5.625, 270, 0.0926, None, None, None, None, None
5.833, 280, 0.0875, None, None, None, None, None
6.000, 288, None, 1.5250, 0.4642, 0.6489, 0.5413, 0.9117
6.042, 290, 0.0469, None, None, None, None, None
6.250, 300, 0.0518, None, None, None, None, None
6.458, 310, 0.0547, None, None, None, None, None
6.667, 320, 0.0546, None, None, None, None, None
6.875, 330, 0.0648, None, None, None, None, None
7.000, 336, None, 1.5684, 0.4298, 0.6447, 0.5157, 0.9001
7.083, 340, 0.0685, None, None, None, None, None
7.292, 350, 0.0247, None, None, None, None, None
7.500, 360, 0.0252, None, None, None, None, None
7.708, 370, 0.0487, None, None, None, None, None
7.917, 380, 0.0172, None, None, None, None, None
8.000, 384, None, 1.8644, 0.4783, 0.6106, 0.5364, 0.9271
8.125, 390, 0.0511, None, None, None, None, None
8.333, 400, 0.0128, None, None, None, None, None
8.542, 410, 0.0212, None, None, None, None, None
8.750, 420, 0.0458, None, None, None, None, None
8.958, 430, 0.0287, None, None, None, None, None
9.000, 432, None, 1.9178, 0.5139, 0.6277, 0.5651, 0.9299
9.167, 440, 0.0063, None, None, None, None, None
9.375, 450, 0.0086, None, None, None, None, None
9.583, 460, 0.0388, None, None, None, None, None
9.792, 470, 0.0216, None, None, None, None, None
10.000, 480, 0.0173, None, None, None, None, None
10.000, 480, None, 1.9321, 0.5202, 0.6298, 0.5698, 0.9307
10.000, 480, None, None, None, None, None, None
10.000, 480, None, 1.9321, 0.5202, 0.6298, 0.5698, 0.9307

# Starting new run with hyperparams:
{
  "learning_rate": 3e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.1,
  "dropout_rate": 0.1,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.2,
  "lr_scheduler": "cosine",
  "fold": 2
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.204, 10, 3.2430, None, None, None, None, None
0.408, 20, 3.0279, None, None, None, None, None
0.612, 30, 2.9214, None, None, None, None, None
0.816, 40, 2.5809, None, None, None, None, None
1.000, 49, None, 2.5562, 0.0256, 0.2120, 0.0457, 0.3928
1.020, 50, 2.4227, None, None, None, None, None
1.224, 60, 2.0929, None, None, None, None, None
1.429, 70, 1.8116, None, None, None, None, None
1.633, 80, 1.6637, None, None, None, None, None
1.837, 90, 1.1899, None, None, None, None, None
2.000, 98, None, 1.7664, 0.0733, 0.3639, 0.1220, 0.6236
2.041, 100, 1.6738, None, None, None, None, None
2.245, 110, 0.6860, None, None, None, None, None
2.449, 120, 0.5593, None, None, None, None, None
2.653, 130, 0.8924, None, None, None, None, None
2.857, 140, 0.5842, None, None, None, None, None
3.000, 147, None, 1.4504, 0.1334, 0.6246, 0.2199, 0.5706
3.061, 150, 0.4464, None, None, None, None, None
3.265, 160, 0.3742, None, None, None, None, None
3.469, 170, 0.2986, None, None, None, None, None
3.673, 180, 0.3171, None, None, None, None, None
3.878, 190, 0.2813, None, None, None, None, None
4.000, 196, None, 1.2819, 0.1757, 0.5186, 0.2625, 0.7626
4.082, 200, 0.5038, None, None, None, None, None
4.286, 210, 0.1210, None, None, None, None, None
4.490, 220, 0.1731, None, None, None, None, None
4.694, 230, 0.2081, None, None, None, None, None
4.898, 240, 0.3914, None, None, None, None, None
5.000, 245, None, 1.5138, 0.2392, 0.6046, 0.3428, 0.7651
5.102, 250, 0.1336, None, None, None, None, None
5.306, 260, 0.1056, None, None, None, None, None
5.510, 270, 0.0849, None, None, None, None, None
5.714, 280, 0.1375, None, None, None, None, None
5.918, 290, 0.1629, None, None, None, None, None
6.000, 294, None, 1.6711, 0.3305, 0.6619, 0.4408, 0.8277
6.122, 300, 0.1420, None, None, None, None, None
6.327, 310, 0.0461, None, None, None, None, None
6.531, 320, 0.0613, None, None, None, None, None
6.735, 330, 0.1155, None, None, None, None, None
6.939, 340, 0.1697, None, None, None, None, None
7.000, 343, None, 1.9224, 0.4421, 0.6562, 0.5283, 0.9016
7.143, 350, 0.0645, None, None, None, None, None
7.347, 360, 0.0790, None, None, None, None, None
7.551, 370, 0.0666, None, None, None, None, None
7.755, 380, 0.0983, None, None, None, None, None
7.959, 390, 0.0057, None, None, None, None, None
8.000, 392, None, 2.2126, 0.5170, 0.6533, 0.5772, 0.9219
8.163, 400, 0.0290, None, None, None, None, None
8.367, 410, 0.0235, None, None, None, None, None
8.571, 420, 0.0353, None, None, None, None, None
8.776, 430, 0.1011, None, None, None, None, None
8.980, 440, 0.0417, None, None, None, None, None
9.000, 441, None, 2.2426, 0.5170, 0.6533, 0.5772, 0.9185
9.184, 450, 0.0742, None, None, None, None, None
9.388, 460, 0.0083, None, None, None, None, None
9.592, 470, 0.0134, None, None, None, None, None
9.796, 480, 0.0242, None, None, None, None, None
10.000, 490, 0.0599, None, None, None, None, None
10.000, 490, None, 2.2503, 0.5195, 0.6504, 0.5776, 0.9195
10.000, 490, None, None, None, None, None, None
10.000, 490, None, 2.2503, 0.5195, 0.6504, 0.5776, 0.9195

# Starting new run with hyperparams:
{
  "learning_rate": 3e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.1,
  "dropout_rate": 0.1,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.2,
  "lr_scheduler": "cosine",
  "fold": 3
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.204, 10, 3.2243, None, None, None, None, None
0.408, 20, 3.0270, None, None, None, None, None
0.612, 30, 2.7802, None, None, None, None, None
0.816, 40, 2.7274, None, None, None, None, None
1.000, 49, None, 2.2413, 0.0422, 0.2827, 0.0735, 0.4359
1.020, 50, 2.6906, None, None, None, None, None
1.224, 60, 2.0895, None, None, None, None, None
1.429, 70, 1.8662, None, None, None, None, None
1.633, 80, 1.6243, None, None, None, None, None
1.837, 90, 1.4023, None, None, None, None, None
2.000, 98, None, 1.1475, 0.0746, 0.4411, 0.1276, 0.3055
2.041, 100, 1.5233, None, None, None, None, None
2.245, 110, 0.8546, None, None, None, None, None
2.449, 120, 0.6783, None, None, None, None, None
2.653, 130, 0.8075, None, None, None, None, None
2.857, 140, 0.8662, None, None, None, None, None
3.000, 147, None, 0.8197, 0.2055, 0.6039, 0.3067, 0.7660
3.061, 150, 0.5930, None, None, None, None, None
3.265, 160, 0.4263, None, None, None, None, None
3.469, 170, 0.3904, None, None, None, None, None
3.673, 180, 0.3057, None, None, None, None, None
3.878, 190, 0.3563, None, None, None, None, None
4.000, 196, None, 0.5978, 0.2087, 0.6574, 0.3168, 0.6937
4.082, 200, 0.3874, None, None, None, None, None
4.286, 210, 0.2542, None, None, None, None, None
4.490, 220, 0.1732, None, None, None, None, None
4.694, 230, 0.1626, None, None, None, None, None
4.898, 240, 0.5106, None, None, None, None, None
5.000, 245, None, 0.6319, 0.2212, 0.6296, 0.3274, 0.7029
5.102, 250, 0.1922, None, None, None, None, None
5.306, 260, 0.1659, None, None, None, None, None
5.510, 270, 0.1231, None, None, None, None, None
5.714, 280, 0.2002, None, None, None, None, None
5.918, 290, 0.0659, None, None, None, None, None
6.000, 294, None, 0.5330, 0.4651, 0.7409, 0.5714, 0.9129
6.122, 300, 0.0402, None, None, None, None, None
6.327, 310, 0.1123, None, None, None, None, None
6.531, 320, 0.1384, None, None, None, None, None
6.735, 330, 0.0949, None, None, None, None, None
6.939, 340, 0.0390, None, None, None, None, None
7.000, 343, None, 0.6067, 0.5313, 0.7623, 0.6262, 0.9215
7.143, 350, 0.0364, None, None, None, None, None
7.347, 360, 0.0672, None, None, None, None, None
7.551, 370, 0.0585, None, None, None, None, None
7.755, 380, 0.0596, None, None, None, None, None
7.959, 390, 0.0229, None, None, None, None, None
8.000, 392, None, 0.5968, 0.5221, 0.7580, 0.6183, 0.9220
8.163, 400, 0.0858, None, None, None, None, None
8.367, 410, 0.0384, None, None, None, None, None
8.571, 420, 0.0628, None, None, None, None, None
8.776, 430, 0.0335, None, None, None, None, None
8.980, 440, 0.0605, None, None, None, None, None
9.000, 441, None, 0.6835, 0.5856, 0.7687, 0.6648, 0.9356
9.184, 450, 0.0923, None, None, None, None, None
9.388, 460, 0.0141, None, None, None, None, None
9.592, 470, 0.0198, None, None, None, None, None
9.796, 480, 0.0139, None, None, None, None, None
10.000, 490, 0.0500, None, None, None, None, None
10.000, 490, None, 0.6916, 0.5908, 0.7730, 0.6698, 0.9364
10.000, 490, None, None, None, None, None, None
10.000, 490, None, 0.6916, 0.5908, 0.7730, 0.6698, 0.9364

# Starting new run with hyperparams:
{
  "learning_rate": 3e-05,
  "batch_size": 1,
  "epochs": 10,
  "weight_decay": 0.1,
  "dropout_rate": 0.1,
  "gradient_accumulation_steps": 1,
  "warmup_ratio": 0.2,
  "lr_scheduler": "cosine",
  "fold": 4
}
epoch,step,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.204, 10, 3.2514, None, None, None, None, None
0.408, 20, 2.9813, None, None, None, None, None
0.612, 30, 2.8324, None, None, None, None, None
0.816, 40, 2.6320, None, None, None, None, None
1.000, 49, None, 2.4663, 0.0262, 0.1955, 0.0462, 0.4370
1.020, 50, 2.3345, None, None, None, None, None
1.224, 60, 1.8680, None, None, None, None, None
1.429, 70, 1.9109, None, None, None, None, None
1.633, 80, 1.5419, None, None, None, None, None
1.837, 90, 1.7169, None, None, None, None, None
2.000, 98, None, 1.7216, 0.0606, 0.3734, 0.1043, 0.5607
2.041, 100, 1.3397, None, None, None, None, None
2.245, 110, 0.8400, None, None, None, None, None
